year,scenario,variable,mean,p05,p95,relative_to
2031,SSP5-8.5,GSAT_anomaly_C,1.61043913758366,1.364782524798977,1.886850130282815,1850-1900
2032,SSP5-8.5,GSAT_anomaly_C,1.644262337545705,1.390625815428395,1.932285067593028,1850-1900
2033,SSP5-8.5,GSAT_anomaly_C,1.677874345077882,1.410746028102656,1.978728279152709,1850-1900
2034,SSP5-8.5,GSAT_anomaly_C,1.712720129290541,1.434906732710465,2.024747366122618,1850-1900
2035,SSP5-8.5,GSAT_anomaly_C,1.747634769551231,1.458803203038781,2.071520093234028,1850-1900
2036,SSP5-8.5,GSAT_anomaly_C,1.783015570716804,1.483370971007377,2.117948977435835,1850-1900
2037,SSP5-8.5,GSAT_anomaly_C,1.817785200122533,1.509067961932949,2.162790838643331,1850-1900
2038,SSP5-8.5,GSAT_anomaly_C,1.853785112254635,1.536156714422398,2.211017365840531,1850-1900
2039,SSP5-8.5,GSAT_anomaly_C,1.892334384814826,1.563592434096558,2.260369028095963,1850-1900
2040,SSP5-8.5,GSAT_anomaly_C,1.932941125341882,1.59166426274565,2.312494525338334,1850-1900
2041,SSP5-8.5,GSAT_anomaly_C,1.973450266159391,1.620760393021456,2.365856631971749,1850-1900
2042,SSP5-8.5,GSAT_anomaly_C,2.011311166707666,1.64854106275183,2.416993986468267,1850-1900
2043,SSP5-8.5,GSAT_anomaly_C,2.052008843259084,1.67778459234983,2.471009801609257,1850-1900
2044,SSP5-8.5,GSAT_anomaly_C,2.09422104722134,1.707986856100538,2.527432897189275,1850-1900
2045,SSP5-8.5,GSAT_anomaly_C,2.135517351120816,1.738701628011867,2.582179874999448,1850-1900
2046,SSP5-8.5,GSAT_anomaly_C,2.177517119040265,1.768256093936051,2.638026939004575,1850-1900
2047,SSP5-8.5,GSAT_anomaly_C,2.219344350420734,1.798193459883535,2.694732947832076,1850-1900
2048,SSP5-8.5,GSAT_anomaly_C,2.260737596082856,1.832998454535749,2.75067528802596,1850-1900
2049,SSP5-8.5,GSAT_anomaly_C,2.304063947617047,1.865793893039676,2.812369456745166,1850-1900
2050,SSP5-8.5,GSAT_anomaly_C,2.348434422882916,1.899725504555486,2.870155476464876,1850-1900
